datetime,open,high,low,close,volume,quote_volume,trade_count,taker_buy_volume,taker_buy_quote_volume
2024-12-24 09:00:00,94495.77000000,94530.42000000,93952.00000000,94068.01000000,446.78916000,42079927.44860340,117595,177.70335000,16734607.30111120
2024-12-24 10:00:00,94068.01000000,94194.07000000,93840.00000000,93972.01000000,389.62902000,36617296.61187850,71022,161.59243000,15186165.77034170
2024-12-24 11:00:00,93972.01000000,94425.70000000,93934.69000000,94398.60000000,466.22641000,43919610.13769400,62277,203.95380000,19216362.08863010
2024-12-24 12:00:00,94398.60000000,94410.39000000,94075.10000000,94304.32000000,421.20785000,39689372.01390140,60053,137.10928000,12919332.37404290
2024-12-24 13:00:00,94305.84000000,96094.00000000,94289.24000000,96085.02000000,1620.10206000,154227052.78885760,166024,1014.55868000,96560394.22844110
2024-12-24 14:00:00,96085.02000000,97498.64000000,95864.50000000,97465.06000000,2637.73752000,255206313.36666450,306333,1426.06387000,138000996.55919330
2024-12-24 15:00:00,97465.06000000,98300.00000000,97235.55000000,98300.00000000,2291.31734000,223822085.94807690,244719,1219.32260000,119117069.12522780
2024-12-24 16:00:00,98299.99000000,98666.00000000,97964.00000000,98496.23000000,2172.24903000,213503911.06577200,205474,995.37403000,97861204.71558950
2024-12-24 17:00:00,98496.23000000,99030.72000000,98325.78000000,98797.47000000,1789.42098000,176681814.07997360,217436,970.93145000,95893788.89293780
2024-12-24 18:00:00,98797.47000000,99487.99000000,98418.16000000,98618.66000000,1479.28279000,146327644.34171370,190220,755.84549000,74788023.70468430
2024-12-24 19:00:00,98618.66000000,98743.52000000,97546.57000000,97581.09000000,1005.96025000,98730771.25643270,122517,413.80525000,40607512.95144400
2024-12-24 20:00:00,97581.10000000,98056.27000000,97250.00000000,97298.01000000,1248.65596000,121938120.89904960,193356,620.55558000,60615202.76095150
2024-12-24 21:00:00,97298.02000000,98462.28000000,97277.90000000,98397.96000000,791.97528000,77649243.41858430,115254,465.97098000,45698670.20998950
2024-12-24 22:00:00,98397.95000000,99068.90000000,98355.43000000,98777.11000000,751.43045000,74180186.08090280,107086,372.31497000,36756651.48934650
2024-12-24 23:00:00,98777.10000000,99019.10000000,98492.67000000,98663.58000000,393.46776000,38866956.02657160,65197,186.62773000,18436289.90780740
2024-12-25 00:00:00,98663.58000000,98878.44000000,98393.60000000,98418.42000000,715.42470000,70528141.98277240,124496,268.82166000,26506155.14855360
2024-12-25 01:00:00,98418.42000000,98597.60000000,97901.08000000,97983.18000000,598.00500000,58737419.44058360,122130,234.98764000,23084194.40504080
2024-12-25 02:00:00,97983.17000000,98353.99000000,97725.27000000,98131.07000000,593.82651000,58221768.45929350,119052,279.35558000,27388789.52715750
2024-12-25 03:00:00,98131.07000000,98280.02000000,97930.53000000,98029.48000000,439.76979000,43154994.32897820,110127,247.02976000,24241681.60526230
2024-12-25 04:00:00,98029.49000000,98354.39000000,97875.91000000,98236.01000000,336.98364000,33077697.15269180,76794,181.35850000,17801235.91101570
2024-12-25 05:00:00,98236.01000000,98360.65000000,98159.09000000,98279.28000000,255.48309000,25103919.52006960,59756,108.71073000,10681801.25285480
2024-12-25 06:00:00,98279.28000000,98581.90000000,97844.18000000,97884.38000000,454.70940000,44639911.26531280,108466,192.94399000,18949062.65647040
2024-12-25 07:00:00,97884.39000000,98366.79000000,97873.49000000,98084.33000000,407.46219000,39970611.15718660,90484,189.36632000,18572211.96239630
2024-12-25 08:00:00,98084.33000000,98271.76000000,97926.99000000,98069.71000000,389.90170000,38251627.32223930,67274,197.04788000,19331497.23125520
2024-12-25 09:00:00,98069.72000000,98265.07000000,98007.69000000,98189.54000000,332.61032000,32631351.33765760,68784,174.38715000,17108151.51112630
2024-12-25 10:00:00,98189.55000000,99349.31000000,98145.75000000,98457.00000000,1287.95699000,127260143.54616700,278487,725.80203000,71712366.07558280
2024-12-25 11:00:00,98456.99000000,98866.77000000,97773.83000000,97907.61000000,1015.89784000,99900719.60179460,193858,342.62162000,33710902.59101620
2024-12-25 12:00:00,97907.61000000,98610.11000000,97632.02000000,98176.03000000,1309.05980000,128463741.87032650,318236,692.81652000,67987357.12521510
2024-12-25 13:00:00,98176.02000000,98609.89000000,98131.85000000,98462.56000000,455.54429000,44832339.37621000,165721,214.65696000,21121842.40750850
2024-12-25 14:00:00,98462.57000000,98832.89000000,98257.32000000,98710.00000000,550.83181000,54332314.65556810,186096,266.80225000,26318705.08115350
